Start Time,Elapsed Time,Machine Name,Login,Level,Message,Exception
2021-02-09 20:41:11.3191,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:41:11.9011,    0.5820,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : echo AMI,JOG",
2021-02-09 20:41:36.2274,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:41:36.4447,    0.2173,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : echo AMI,JOG",
2021-02-09 20:42:23.7683,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:42:23.8703,    0.1020,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : echo AMI,JOG",
2021-02-09 20:46:33.8980,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:46:34.0180,    0.1200,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 20:46:57.3919,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:46:57.4709,    0.0790,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 20:49:33.3021,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:49:33.4181,    0.1160,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : .\notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 20:50:28.4455,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:50:28.5495,    0.1040,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : .\notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 20:52:09.0039,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 20:52:09.1219,    0.1180,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : C:\Windows\System32\notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 21:04:01.3382,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:04:01.4542,    0.1160,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : C:\Windows\System32\notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 21:04:06.1208,    4.6665,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Done : C:\Windows\System32\notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 21:04:06.1208,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 4792ms,
2021-02-09 21:05:19.4753,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:05:19.7813,    0.3060,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : C:\Windows\System32\notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 21:05:43.6818,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:05:43.8028,    0.1210,PMIIDIDNL12967,PMI\mamrulla,DEBUG,"Executing... : notepad.exe C:\temp\SDA,SDW.txt",
2021-02-09 21:06:16.9071,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:06:16.9691,    0.0620,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:06:16.9691,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:06:56.0527,   39.0836,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:06:57.6537,    1.6010,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:06:57.6868,    0.0330,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 40779ms,
2021-02-09 21:09:51.1074,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:09:51.1914,    0.0840,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:09:51.1914,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:09:56.2409,    5.0495,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:09:56.2510,    0.0101,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:09:56.2634,    0.0124,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 5155ms,
2021-02-09 21:10:54.9583,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:10:55.0203,    0.0620,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:10:55.0203,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:11:00.0680,    5.0477,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:11:00.0770,    0.0090,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:11:00.0770,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 5126ms,
2021-02-09 21:11:28.1010,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:11:28.1550,    0.0540,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:11:28.1550,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:11:39.7474,   11.5924,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:11:41.0316,    1.2842,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:11:41.0496,    0.0180,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 12949ms,
2021-02-09 21:11:58.8363,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:11:58.9063,    0.0700,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:11:58.9063,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:12:03.9543,    5.0480,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:12:03.9623,    0.0080,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:12:03.9883,    0.0260,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 5152ms,
2021-02-09 21:12:22.7029,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:12:22.7819,    0.0790,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:12:22.7819,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:13:11.1707,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:13:11.2558,    0.0850,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:13:11.2558,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:13:41.3232,   30.0674,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:13:41.3232,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:13:41.3612,    0.0380,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 30191ms,
2021-02-09 21:13:56.8088,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:13:56.8549,    0.0460,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:13:56.8549,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Executing... : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:14:17.3636,   20.5087,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDW.txt,
2021-02-09 21:14:19.6509,    2.2873,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Done : notepad.exe C:\temp\SDA.txt,
2021-02-09 21:14:19.6509,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 22854ms,
2021-02-09 21:40:42.8364,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:43:08.9038,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:43:22.6782,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:43:49.5814,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:44:16.0549,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-09 21:47:00.5181,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
